Symbol,Status,Records Downloaded
SEIX,Success,1376
UBXX.L,Success,1668
IVW,Success,6132
IXUS,Success,3011
DAPP,Success,880
IUSG,Success,6089
IWD,Success,6132
XIC.TO,Success,5937
TUA,Success,478
SJNK,Success,3164
PAVE,Success,1912
XSVN,Success,521
FJUL,Success,1065
SPAB,Success,4378
DXD,Success,4593
FLTR,Success,3388
TSLT,Success,246
SPLB,Success,3924
SCHG,Success,3732
FLDR,Success,1592
RING,Success,3193
IASH.L,Success,2404
XLY,Success,6492
BSV,Success,4408
TSL,Success,547
SUB,Success,4007
SPMD,Success,2835
SPYV,Success,6045
IBB,Success,5954
TWH.NZ,Success,1288
IWDG.L,Success,1869
3SIS.L,Success,2982
SRTY,Success,3691
CGDV,Success,661
MSFU,Success,527
MUB,Success,4302
VYMI,Success,2168
SPXL,Success,4009
DRN,Success,3836
I500.AS,Success,1040
RECS,Success,5825
MSOS,Success,1033
PFF,Success,4414
VCIT,Success,3745
IUIT.L,Success,2249
CNYB.L,Success,1304
GOVZ,Success,1018
IBB1.DE,Success,1432
VUSD.L,Success,3133
IFRA,Success,1641
CWB,Success,3899
QYLD,Success,2725
IUSB,Success,2601
ACWI,Success,4164
TBIL,Success,547
ALUM.L,Success,4239
DLR.TO,Success,3391
XLB,Success,6492
TBT,Success,4140
XSD2.L,Success,3681
SRLN,Success,2901
SOXL,Success,3672
TFI,Success,4299
SVXY,Success,3276
TSLS,Success,547
BSCS,Success,1553
NDIA.L,Success,1616
EFAV,Success,3264
USIG,Success,4468
QQQM,Success,1005
SUK2.L,Success,3869
SPSB,Success,3728
GVI,Success,4468
XT2D.L,Success,3681
DTLC.SW,Success,1753
KBE,Success,4757
ERX,Success,4008
VOOL.DE,Success,2945
VGK,Success,4931
IGTM.L,Success,1420
UWM,Success,4459
IGLB,Success,3734
FALN,Success,2093
CGGR,Success,661
ASHR,Success,2750
SPHQ,Success,4743
EZU,Success,6088
UPRO,Success,3850
EWSP.L,Success,554
CGCP,Success,661
RSPT,Success,4511
NVDU,Success,272
EHYA.AS,Success,1259
3WHL.L,Success,2244
BILS,Success,1018
2B7J.DE,Success,1779
CHAU,Success,2389
2828.HK,Success,5139
CPSEETF.NS,Success,2593
DS2P.L,Success,3870
CNEW.AX,Success,1500
HXT.TO,Success,3492
SETFGOLD.NS,Success,3794
