Symbol,Volume,Status
GUSA,0,Fail
FFLS,1235,Fail
JPAS.L,991,Fail
RMAX.TO,12572,Fail
LLDR,0,Fail
GLTR,21000,Fail
IBGK,1,Fail
UEDV.L,0,Fail
HIWO.SW,0,Fail
U1FB.DE,2820,Fail
EM1C.DE,1026,Fail
U10H.MI,6191,Fail
NBCE,332,Fail
IFSW.L,68,Fail
FXRU.L,0,Fail
ONLN,7912,Fail
DMRI,0,Fail
JMBS,441322,Pass
USFI,226,Fail
MTF.PA,1476,Fail
BNDI,5546,Fail
EMHY,29004,Fail
BSMY,149,Fail
IUSM.DE,1521,Fail
IEF,6769200,Pass
TTTX.TO,0,Fail
LTM.PA,0,Fail
183700.KS,2,Fail
SKYU.L,3,Fail
FCRH.TO,0,Fail
VMID.L,1856,Fail
VOOV,57900,Fail
PFFD,647183,Pass
PRMU.L,0,Fail
SID.TO,0,Fail
LQDH,16673,Fail
EDGU,7606,Fail
371460.KS,1649793,Pass
CPJ1.L,0,Fail
AGGU.L,41,Fail
F701.DE,1687,Fail
HEP.TO,0,Fail
SEGA.L,0,Fail
BSMW,7443,Fail
HBIE.TO,667,Fail
DTAN,15594,Fail
AGAP.L,1,Fail
BKMC,6494,Fail
ISLN.L,0,Fail
KAPR,3914,Fail
IHYU.MI,6500,Fail
EEV,5800,Fail
UEEF.DE,24348,Fail
FXD,17600,Fail
FDFF,665,Fail
ZEF.TO,1000,Fail
QTIP.NE,836,Fail
NS4E.DE,73,Fail
MLTI,0,Fail
MCH,40504,Fail
DIVP,601,Fail
EPRA.L,320,Fail
FUT.TO,0,Fail
XDNS.L,0,Fail
SROI,390,Fail
USRT,119700,Fail
RESI,0,Fail
COMB,12725,Fail
E907.DE,3482,Fail
9077.HK,0,Fail
MTGP,5063,Fail
IDWR.L,220,Fail
UCRP.L,21,Fail
FXRL.ME,0,Fail
SMI,0,Fail
USSL.TO,252,Fail
JPIE,224360,Pass
JIRE,119526,Fail
GDEP.TO,0,Fail
LRGF,52502,Fail
IE00BFMXXD54.SG,0,Fail
COPA.L,505,Fail
VEUR.PA,0,Fail
XUSP,4270,Fail
UPAD.L,0,Fail
IYZ,240100,Pass
WEBA.DE,6249,Fail
FEDL,464,Fail
AHYQ.DE,8696,Fail
ADRD,0,Fail
ITDF,1112,Fail
XMJD.L,320,Fail
DIVD,234,Fail
IB27.MI,20354,Fail
3ABE.L,5,Fail
RORE,0,Fail
CAFR.TO,21971,Fail
FXF,5800,Fail
FASE.L,87,Fail
FEUD.L,100,Fail
365040.KS,101,Fail
7373.HK,0,Fail
ZEB.TO,905200,Pass
XDEC,13193,Fail
CGXF.TO,2864,Fail
GDMS.L,380,Fail
RUSS,0,Fail
VTI,2123500,Pass
SJP3.L,0,Fail
WCLD,43434,Fail
MKC.TO,0,Fail
TNOD.SW,0,Fail
XSHD,43384,Fail
PJFM,0,Fail
XLV,7839200,Pass
SDFI,2353,Fail
GREI,0,Fail
EDOC.L,180,Fail
EMSM.L,11,Fail
ROE,50648,Fail
INSU.SW,0,Fail
UIM9.AS,39,Fail
MDLX,0,Fail
LYP2.DE,15,Fail
DFAI,574757,Pass
CAPE,11755,Fail
PEMX,869,Fail
RZV,4000,Fail
IGLN.L,4,Fail
RDVI,286085,Pass
HAWX,15647,Fail
LS.TO,0,Fail
IUMF.L,678,Fail
NIKL,7881,Fail
BSEP,36259,Fail
XLPP.L,3,Fail
BRNY,54728,Fail
204450.KS,349636,Pass
RAAX,19766,Fail
IBID,1010,Fail
IBHH,40271,Fail
PRWU.L,2000,Fail
SUGA.L,90,Fail
UIME.F,0,Fail
TTPX.DE,127,Fail
VCRB,11106,Fail
QIE.TO,7000,Fail
PRAP.DE,2255,Fail
FDT,9400,Fail
FTWD.DE,5710,Fail
LHKG.DE,45013,Fail
IWLG,307,Fail
EFIX,2068,Fail
HUL.TO,0,Fail
6PSA.DE,131,Fail
EMKX.DE,23027,Fail
IXP,9700,Fail
GOLDCASE.NS,1311001,Pass
SCHB,535900,Pass
MRN3.L,5,Fail
MJ,896447,Pass
USOI,62535,Fail
VV,144600,Fail
AGOX,38755,Fail
HBKU.L,0,Fail
BBUS,155281,Fail
GXUS,0,Fail
JHMU,542,Fail
DTEC.L,22,Fail
STXT,42586,Fail
ZIVB,17336,Fail
IBTP,13295,Fail
HFXE,0,Fail
IXC,390700,Pass
BPS.L,0,Fail
SJIM,0,Fail
TQGM.TO,0,Fail
CHLD,0,Fail
IGRO,95982,Fail
CHGX,1618,Fail
XOVR,3970,Fail
IGAE.AS,3460,Fail
HYC.MI,1404,Fail
PAXJ.PA,0,Fail
MCHT.L,0,Fail
DBXV.DE,0,Fail
WINC.L,38,Fail
INAA.L,478,Fail
GSSC,11317,Fail
DVEM,0,Fail
CSBGE3.SW,0,Fail
ZPRE.F,0,Fail
FBT.L,0,Fail
GMET,2369,Fail
VODS.L,0,Fail
IE00BFY0GT14.SG,0,Fail
VWCE.DE,66355,Fail
HSUD.MI,0,Fail
LYY8.F,0,Fail
XDWT.DE,62664,Fail
WUGI,2279,Fail
SFLO,30160,Fail
AVDR,0,Fail
BCIL,214,Fail
MNT.TO,1200,Fail
EFAS,132765,Fail
FDIG,25674,Fail
MVEW.L,515,Fail
GSID,85,Fail
SHRY,20,Fail
HVI.TO,0,Fail
SWLD.L,539,Fail
DIAL,19311,Fail
IJPN.AS,5090,Fail
3SAR.PA,601,Fail
EMSG,488,Fail
USCC.TO,9956,Fail
BSJW,6029,Fail
UCO,3327700,Pass
PRFD,7830,Fail
SPFD.DE,407,Fail
AMDS,12976,Fail
HYSD,0,Fail
UBRL,7704,Fail
OSLE,0,Fail
SC0J.DE,12813,Fail
GDMN,6184,Fail
VLC.AX,58,Fail
2B7A.DE,92046,Fail
ETFBSPXPL.WA,1275,Fail
DBX6.DE,1336,Fail
HYUS.SW,28694,Fail
SSMH.AS,0,Fail
JJGB,0,Fail
IBTM.L,47,Fail
PXF.TO,0,Fail
UBUW.DE,1,Fail
DFAC,1202822,Pass
TWTS.L,0,Fail
PHGP.L,1,Fail
IBMFNIFTY.NS,0,Fail
FJP,15800,Fail
FMDG,0,Fail
HII.TO,0,Fail
CSJP.L,63,Fail
NETL,1834,Fail
7322.HK,0,Fail
XUCM.DE,779,Fail
AM3A.MI,25,Fail
100910.KS,8,Fail
ISDW.L,1943,Fail
NOPE,0,Fail
267490.KS,2508,Fail
WMAT.L,216,Fail
RBLD,100,Fail
2NVD.L,2,Fail
MZZ,100,Fail
DCHF,0,Fail
AH50.L,109,Fail
EZJ,400,Fail
FLSP,3634,Fail
ASHS,273594,Pass
SETH,11595,Fail
MFLX,1,Fail
NMB,132,Fail
HLGE,751,Fail
MIND.TO,0,Fail
IPOS,256,Fail
IJR.AX,1991,Fail
JHHY,0,Fail
ZHU.TO,300,Fail
GLRE.L,7,Fail
WIZ,0,Fail
LYQ7.DE,3125,Fail
MVEU.L,0,Fail
JKE,0,Fail
SESG,0,Fail
2TSE.L,2,Fail
VMIN,0,Fail
IWN,1088900,Pass
V60D.DE,834,Fail
CORP.TO,0,Fail
QDVC.DE,852,Fail
BTCY-B.TO,6995,Fail
JPNS.L,0,Fail
XUTC.DE,9578,Fail
RBDI.TO,0,Fail
NIWM,0,Fail
MAGU.AS,0,Fail
3LMS.L,5,Fail
IPAB.DE,79,Fail
VUAA.DE,24245,Fail
CPNJ,1100,Fail
LYM7.DE,7154,Fail
JVAL,14854,Fail
DRGN.MI,0,Fail
QFLR,62339,Fail
SHLG.L,1,Fail
QQQJ,54341,Fail
PHYD,4680,Fail
ROLL.L,31,Fail
NBFC,103,Fail
M9SV.DE,902,Fail
CTDD,49094,Fail
KJUL,3375,Fail
WTIM.DE,2273,Fail
TECH.BO,11458,Fail
DFNS.MI,23972,Fail
YJUN,14029,Fail
CATL.L,2,Fail
IBDQ,612430,Pass
VFEG.L,0,Fail
GGME,5800,Fail
FUQA.L,2900,Fail
GHMS,374,Fail
FDLO,59554,Fail
CE9.PA,0,Fail
COPP.TO,2533,Fail
RIET,62293,Fail
HPAW.L,120,Fail
BSJO,160366,Fail
MSEX.L,24,Fail
ARKF,330455,Pass
FXED,4830,Fail
RJMG,105,Fail
ICGB.DE,9136,Fail
IVNFF,0,Fail
BYBG.L,0,Fail
HYDB,61739,Fail
NK4L.DE,0,Fail
TSEC,3828,Fail
U13G.L,120,Fail
FLJJ,0,Fail
SPMV,281,Fail
VLQ.TO,0,Fail
ETLN.DE,2331,Fail
RDTE,110793,Fail
VDTE.DE,7044,Fail
CCNR,12548,Fail
CMXC.L,104,Fail
EQQU.L,26,Fail
ISFU.L,70,Fail
ZGSB.TO,4781,Fail
XMK9.DE,15597,Fail
DBXB.DE,445,Fail
LYBF.DE,0,Fail
6PSK.DE,5218,Fail
HCOM,0,Fail
ZPRC.DE,4048,Fail
AVMA,557,Fail
LICNETFSEN.BO,4,Fail
LGWS.DE,848,Fail
SLY,0,Fail
IS07.DE,2065,Fail
SSUS,11010,Fail
UPV,300,Fail
DGRC.TO,1894,Fail
VIU.TO,30348,Fail
VGS.AX,44411,Fail
ESIT.L,1,Fail
MLPE,0,Fail
CUIK.F,0,Fail
LDAG.L,2859,Fail
OEF,133400,Fail
EFZ,4500,Fail
SBIU.DE,0,Fail
BBSU.L,0,Fail
IU5C.DE,9012,Fail
EMUX.DE,1376,Fail
IQSA.L,1,Fail
RISE,0,Fail
PSUBNKBEES.BO,232474,Pass
IXI.AX,2574,Fail
IS0D.DE,25816,Fail
TAXE,50,Fail
INCE,11865,Fail
XRSU.L,9,Fail
MTIX.L,0,Fail
USVN,3959,Fail
TMDV,0,Fail
QXMI,0,Fail
DYB,0,Fail
XS7W.DE,13666,Fail
DXIV,634,Fail
CLWD.L,0,Fail
SPUS,154671,Fail
LYPS.DE,3090,Fail
XRS2.DE,5664,Fail
302180.KS,0,Fail
IDTP.L,1093,Fail
XCB.TO,45700,Fail
CEUG.DE,442,Fail
WBND,351,Fail
LESG.DE,0,Fail
IHEB.AX,1310,Fail
LABU,1183331,Pass
513000.SS,26591200,Pass
VHYL.L,1420,Fail
ARKK,3103530,Pass
SPYI.DE,23325,Fail
BINC,814480,Pass
EXSC.F,0,Fail
XSHC.L,1,Fail
ARCM,149,Fail
LEU3.L,0,Fail
NATO.MI,43449,Fail
DRR,0,Fail
NJNK,0,Fail
ZPDS.DE,1085,Fail
WCAR.MI,0,Fail
GXTG,624,Fail
CGNG,46226,Fail
ETFSP500.WA,1113,Fail
IEFS.L,1293,Fail
UB20.L,132,Fail
DMXF,13512,Fail
SSQ.L,0,Fail
SDGS,0,Fail
ARKY,477,Fail
BDIV,52,Fail
WMTS.AS,18711,Fail
OVS,56,Fail
CPRJ,10771,Fail
XMVE.DE,8,Fail
CTA,90905,Fail
NICK.MI,2540,Fail
FB1X.AS,0,Fail
SDWD.L,400,Fail
H50E.L,48,Fail
XDJL,0,Fail
V3AM.L,1,Fail
SPYT.DE,22,Fail
DEE,0,Fail
FINT.TO,0,Fail
