Symbol,Volume,Status
WCOG.L,0,Fail
AIVL,572,Fail
VWCE.DE,102174,Fail
LYY8.F,0,No Data
QUS.AX,498,Fail
HSUD.MI,122,Fail
DYTA,3402,Fail
CRPX.L,0,No Data
QMAR,8710,Fail
IE00BFY0GT14.SG,0,No Data
US37.L,0,Fail
CFYFF,0,No Data
BUYW,128529,Fail
3BSR.L,0,Fail
PY,3258,Fail
AVDR,0,No Data
BCIL,377,Fail
SROI,0,No Data
PSFO,2908,Fail
SFLO,12880,Fail
QMAX.TO,58500,Fail
MNT.TO,3500,Fail
GSID,149,Fail
EFAS,2194,Fail
AAPD,258111,Pass
WCOA.L,0,Fail
IQQQ.DE,53860,Fail
NACP,722,Fail
FDIG,88176,Fail
BSMW,3894,Fail
HVI.TO,0,No Data
UIFL.PA,3745,Fail
XOMO,18647,Fail
EFAA,481,Fail
PRMU.L,0,No Data
CPNS,4203,Fail
3SAR.PA,0,No Data
3SFB.L,0,Fail
RULE,543,Fail
URE,22039,Fail
DIAL,15629,Fail
EMSG,361,Fail
IJPN.AS,7485,Fail
BSJW,1,Fail
PRFD,3963,Fail
FTAG,461,Fail
AMDS,14054,Fail
BKMC,5043,Fail
HYSD,250,Fail
SPTS,485278,Pass
OSLE,0,No Data
UBRL,45201,Fail
EPRA.L,0,Fail
SC0J.DE,14700,Fail
2B7A.DE,38408,Fail
CNYA,221046,Pass
HCOM,4667,Fail
DBX6.DE,1067,Fail
HSAV.TO,23700,Fail
HYUS.SW,100,Fail
ETFBSPXPL.WA,2237,Fail
JJGB,0,No Data
PXF.TO,0,No Data
IBTM.L,0,Fail
EMHY,46230,Fail
DFVX,17379,Fail
OVF,4191,Fail
XLV,4805749,Pass
PHGP.L,0,Fail
BAR,569423,Pass
PWS,0,No Data
VOX,41524,Fail
IBMFNIFTY.NS,0,No Data
FMDG,0,No Data
FJP,3470,Fail
HII.TO,0,No Data
CSJP.L,0,Fail
7322.HK,0,No Data
IBDP,265145,Pass
NETL,4126,Fail
XUCM.DE,357,Fail
AM3A.MI,26,Fail
AASI.PA,14538,Fail
NOPE,0,No Data
100910.KS,570,Fail
ISDW.L,0,Fail
FDM,1093,Fail
267490.KS,7085,Fail
EMGF,11257,Fail
UMAY,5380,Fail
RBLD,0,No Data
2NVD.L,0,Fail
EXX1.DE,459939,Pass
DCHF,0,No Data
MZZ,221,Fail
FLCH,77623,Fail
FLSP,3989,Fail
CACM.PA,0,No Data
AH50.L,0,Fail
ASHS,96376,Fail
SETH,22364,Fail
7373.HK,0,No Data
FFEB,14647,Fail
RISR,7794,Fail
VWO,7853196,Pass
NMB,2016,Fail
HLGE,0,No Data
MFLX,5004,Fail
MIND.TO,0,No Data
AOK,30240,Fail
JHHY,0,No Data
UCO,2663026,Pass
ZHU.TO,1200,Fail
IPOS,1430,Fail
SSFI,168,Fail
IJR.AX,437,Fail
GLRE.L,0,Fail
LYQ7.DE,53,Fail
WIZ,0,No Data
MVEU.L,0,Fail
LQAI,2235,Fail
SESG,0,No Data
JKE,0,No Data
2TSE.L,0,Fail
VMIN,0,No Data
LUXG.L,0,Fail
QUAL,511312,Pass
CORP.TO,0,No Data
XVOL,0,No Data
NBCE,327,Fail
GOVT,3141687,Pass
BTCY-B.TO,2500,Fail
QDVC.DE,15416,Fail
XUTC.DE,3935,Fail
RBDI.TO,0,No Data
IBGK,0,No Data
JPNS.L,0,Fail
3LMS.L,0,Fail
IPAB.DE,11660,Fail
NIWM,0,No Data
VUAA.DE,36012,Fail
CPNJ,2799,Fail
JVAL,26855,Fail
LYM7.DE,5788,Fail
DRGN.MI,3468,Fail
QFLR,40780,Fail
SHLG.L,0,Fail
NBFC,0,No Data
M9SV.DE,961,Fail
TECH.BO,328,Fail
KJUL,24709,Fail
ROLL.L,0,Fail
WTIM.DE,7186,Fail
CTDD,27133,Fail
DFNS.MI,30259,Fail
CATL.L,0,Fail
VFEG.L,0,Fail
FUQA.L,0,Fail
YJUN,38729,Fail
IBDQ,290850,Pass
GHMS,0,No Data
GGME,1870,Fail
CE9.PA,0,No Data
FDLO,49284,Fail
HPAW.L,0,Fail
COPP.TO,1700,Fail
RIET,79724,Fail
MSEX.L,0,Fail
BSJO,113455,Fail
ARKF,294921,Pass
ICGB.DE,11308,Fail
RJMG,720,Fail
BYBG.L,0,No Data
IVNFF,0,No Data
FXED,11980,Fail
FLJJ,0,No Data
TSEC,106,Fail
U13G.L,0,Fail
VLQ.TO,0,No Data
NK4L.DE,0,No Data
HYDB,71372,Fail
ETLN.DE,14,Fail
SPMV,300,Fail
VDTE.DE,13177,Fail
RDTE,111322,Fail
CCNR,12548,Fail
CMXC.L,0,Fail
EQQU.L,0,Fail
3USS.MI,49694,Fail
ZGSB.TO,400,Fail
ISFU.L,0,Fail
LYBF.DE,0,No Data
XMK9.DE,33920,Fail
DBXB.DE,433,Fail
ZPRC.DE,9756,Fail
LICNETFSEN.BO,0,No Data
AVMA,1343,Fail
6PSK.DE,51679,Fail
IS07.DE,2131,Fail
LGWS.DE,2,Fail
SSUS,50636,Fail
SLY,0,No Data
DGRC.TO,3700,Fail
UPV,314,Fail
MLPE,0,No Data
CUIK.F,0,No Data
LDAG.L,0,No Data
